restaurant_id,restaurant_name
516,Agra Sweets Banjara
517,The Ghee Khichdi Project
518,The Brew Estate
519,One Bites Sanjauli
520,Sherowali Restaurant And Cafe
521,Uncle Ugen's Momo
522,Burgerama
523,The Story House
524,Flavours Of Punjab
525,GLOBO Ice Creams Of The World
526,"Frozen Bottle - Milkshakes, Desserts And Ice Cream"
527,Bheemeshwara - A South Indian Delicacy
528,China Belly By Wow! Momo
529,Mahalaxmi Sweets
530,Ghar Ka Tadka
531,Snoosh Ice Cream Parlour
532,Cake Hut
533,The Master Chef
534,Om Sweets & Snacks
535,Kabab E Biryani
536,Shree Shyam Bakery
537,Vrindavan ki rasoi
538,Myfroyoland - Premium Frozen Yogurt
539,Minus 30
540,The Food Villa
541,Big Fat Sandwich & Pizza
542,Taco Bell
543,Cafe Coffee Day
544,PizzaExpress
545,Hotel Annalakshmi
546,Kingdom of Momos
547,Scholars
548,Kite Restaurant
549,Izumi
550,51 Rainbows
551,Sante Spa Cuisine
552,Captain Sam's Pizza
553,Deep Sweets
554,RB Rolls And Fast Food
555,Mr Khan Restro
556,Buzz Inn Restaurant
557,Burger Headquarter
558,The Idli Foundry
559,Sree Vishnu Bhavan
560,Rahmaniya Kethel's Chicken
561,The Brooklyn Creamery - Healthy Ice Cream
562,Home Kitchen
563,Kalsang Friends Corner
564,Daya Hari Chatpata
565,Bikaner Sweets And Namkeen
566,Mummy's kitchen
567,Zero Miles
568,Frozen Bottle
569,Oriental Restaurant
570,Pandit Ji Sweets & Restaurant Dairy
571,Sherowali Sweets
572,Dou
573,Vaango
574,Behrouz Biryani
575,Shree Krishna Bhojanalaya
576,"Greenox- Healthy Bites, Happy Lives"
577,Singh's Town Cafe
578,Steam And Sizzle Cafe
579,One Bite
580,Sindhi Sweets
581,The Coconut
582,Sherowali Bhoj- Non Veg Hotel & Restaurant
583,Sangeetha Veg Restaurant
584,Snehalata Fast Food
585,Gangaur Next
586,Handi Punjab Ki
587,Pizza King
588,Delights by INOX
589,Kamats Legacy
590,Gurukripa Restaurant - Sarwate
591,MP Dhaba
592,Pop Seoul
593,Bowljini Mix Eat Repeat
594,McCafe by McDonald's
595,Gola Sizzlers
596,Haldiram's Sweets and Namkeen
597,Tea Time
598,Takeout - Asian Goodness
599,City Dhaba
600,Theobroma
601,Pizza town
602,Chef's Planet
603,Swadh Restaurant
604,McDonald's Gourmet Burger Collection
605,Mom's Kitchen
606,The cherith
607,Food moments
608,Mithaas
609,Le Meridien - Latest Recipe
610,Momoxpress
611,Stream Restaurant
612,Modern Foods Bakery & Restauran
613,Dejavu
614,Ritz Mithai Vatika
615,Steamin Mugs Cafe & Restaurant
616,Rominus Pizza And Burger
617,Biryani Nation
618,Fat Belly
619,Southern Taste
620,Wrap the cravings
621,Purple Restaurant & lounge bar
622,Gita Samosa Centre
623,Mealy - Your Everyday Meal
624,Ifthar
625,Big Hunger Ashoka Biryani
626,Walk In Woods
627,ITC Aashirvaad Soul Creations
628,The Chocolate Room
629,Baba Au Rhum Badem
630,La Pino'z Pizza
631,The Brownie Studio
632,FOOD EXPRESS
633,The Prashadam
634,Shakti Sweets Since 1966
635,ABC Fast Food
636,Chindam Cafe
637,Slice of Shillong
638,Great Indian Khichdi by EatFit
639,Tasty Bite
640,Prime Bakery & Sweets
641,Dharma Vaishno Dhaba
642,The Grill Republic
643,EatFit
644,Burger Farm
645,New Mughlai Restaurant
646,Auckland Hotel And Restaurant
647,Mantu Biryani
648,Satnam Punjabi Vaishno Dhaba
649,Sakana
650,Jonas Cafe
651,Anand Sweets & Savouries
652,Hong's Kitchen - Hearty! Tasty! Chinese!
653,Palaaram
654,Friends Corner
655,The Biryani Life
656,French Loaf
657,Arabikaas Arabian Restaurant
658,Simla Chat
659,Krav
660,Shabal Restaurant
661,Starbucks Coffee
662,Briyanis Mahal
663,Mayur Hotel & Restaurant
664,Swasti Niramish Hotel
665,Cafe Delight
666,Radhey Lal's Parampara Sweets
667,Varalakshmi Tiffins
668,Gwalia Sweets & Fast Food
669,Snacks Point
670,Cinnabon
671,Ghee and Turmeric
672,Perambur Sri Srinivasa Sweets & Snacks
673,Mio Amore - The Cake Shop
674,Noodle Kitchen
675,Punjabi Foods (Jakhan)
676,Priya Biryani
677,Khullak Cafe
678,Yummy Bites
679,Ovenly by Khurana's
680,Preeti Tiffins
681,Machhli Baba Fries
682,Saurashtra Chawana & Sweets
683,Sodhani Sweets
684,The Great Indian Kitchen
685,Anandji Sweets
686,Lazeez - Rooftop Lounge
687,Asia Seven - Sizzling Chinese
688,Bhikharam Chandmal
689,NBC - Nothing Before Coffee
690,Punjabi Rasoi
691,Adda
692,Good Flippin' Burgers
693,Blossom Cafe
694,Mountain's Pizza
695,Goila Butter Chicken
696,Pyramid Express
697,Mezang Traditional Restaurant
698,Sumi Ethnic
699,Anardana
700,SK Bakers
701,Maa Sagar Sweets And Food Court
702,The Temptations - 24/7
703,Highway Kitchen
704,Daya Hari Mithai
705,Indiana Restaurant
706,Bismillah Taj Hotel
707,Nisarga Family Daba
708,ONE PLUS PIZZA HUB
709,Dawat
710,Emerald 3:14
711,"Faasos - Wraps, Rolls & Shawarma"
712,Wow! Kulfi
713,Rajani's Kitchen
714,Premjees
715,Devrana Express
716,Mealful Rolls - India's Biggest Rolls
717,Priya Restaurant
718,Dindigul Thalappakatti - Since 1957
719,Ao Rice Hotel
720,Homely
721,Meat and Eat
722,Grill Inn
723,Rokali
724,Vijay Dairy
725,Beekays
726,Hotel Shubham Celebrations Dhanturi Group of Hotel
727,Cafe Go Green
728,The Core
