category_id,category
962,Flavoured Milkshakes
963,Masala Omelette
964,Chocolate Coated Bars
965,Namkeen And Wafers
966,Baked hot potatoes
967,Make Your Own Combo
968,Mouth Watering Items
969,Paneer sabji
970,Coffee Powders [ Ps ]
971,Bangali Mithai
972,Double Mutton Kebab Roll
973,Wok And Roll Combo
974,Chicken
975,Ghee Sweets
976,Tawa Special
977,Mojitos [o]
978,Pocket Friendly Combo (serve 1)
979,Plain Dosas
980,Pockets
981,Rice Items (north Indian)
982,Snacks N Starters
983,Fish Main Course
984,Kulfi Faluda
985,SPECIAL MOMOS
986,Bombay Falooda
987,Chettinad
988,Combo Meal 3 Persons
989,Chinese Combo Special
990,Schezwan Rice
991,Roti & Thali
992,Veg rice bowls
993,Non Veg Dry Fry
994,Jar
995,Lebanese
996,Janmasthmi Special
997,Dream Cake (Mini Pack)
998,Chatpata Kebab
999,Shawarma N Roll
1000,Boba Tea
1001,Tandoori Starters Veg
1002,Shabhalay
1003,Etho Metho
1004,"Double Scoops, Double Smiles"
1005,Newly Launched Italian Gelatos
1006,"Pizza Corner (8"" Base)"
1007,Pocket Friendly Items
1008,Party Platter
1009,Chinese Egg
1010,Kichadi
1011,Millet Roti with Curry
1012,ONAM SPECIAL
1013,Kashmiri Dishes
1014,Veg Sandwich
1015,Deshi Khana
1016,Healthy Bowls
1017,Juice
1018,Lunch Items
1019,Indian Snacks
1020,Kababi Shaan
1021,Indian Curry
1022,Chops
1023,Rice Item
1024,Combos N Meals
1025,Sweets (desi Ghee)
1026,Meal For One Combo
1027,MOMOS DELIGHT
1028,Choco & Coffee
1029,Rice & Biryani
1030,Syrup
1031,Mini Combo
1032,Daal
1033,Chapati Meals
1034,Finger Food
1035,Fresh Cold Pressed Juices
1036,Bread Main Course
1037,North Indian Masala Delights
1038,Cheesy Single Topping Pizza
1039,Bangali chicken thali
1040,Pakodas
1041,SCHEZWAN FRIED RICE & NOODLES
1042,Chinese Main Course (Noodles)
1043,Healthy Foods
1044,Zerpian
1045,Palaaram Snacks
1046,Sides Order
1047,Boba drinks
1048,Dessert
1049,Signature Bowls
1050,Biriyani
1051,Rolls & Shawarma
1052,Momo
1053,Kadai Special
1054,Sandwiches (Served With French Fries)
1055,Idli Vada
1056,Khari
1057,Chinese Magic Noodles
1058,Chinese Appetizers (veg)
1059,Complete thali
1060,Snack Time Specials
1061,Combos
1062,Sides
1063,Gourmet Non-Veg Pizzas (11 Inch/14Inch)
1064,Awadhi Rolls
1065,Half N Half Pizza
1066,Allday Breakfasts
1067,Ice Coffee
1068,Egg deluxe thali
1069,Tandoorse
1070,Lunch Specials
1071,Biryani & Fried Rice
1072,Cakes With Flowers
1073,Celebrations
1074,Choice Of Vegetable
1075,Smoothies
1076,Ghar Ka Tadka FriDay Special
1077,Monsoon Specials
1078,Festival Specials
1079,Koozi And Manthi
1080,Smoothie's
1081,Chilli Items
1082,WeFit Super Salads
1083,Hot Coffees
1084,Festive Combos
1085,Maa Ki Rasoi Special
1086,Breads From Clay Pot
1087,Pakoda
1088,Special Masala Dosa
1089,Grilled Chicken
1090,Wheat Momos
1091,Cafe Aurora Soup Noodles
1092,Mother's Day Specials
1093,Fried Chicken & Wings
1094,New Cake Bars
